Save,Save
"Save and Continue Edit","Save and Continue Edit"
Delete,Delete
"Edit Label '%1'","Edit Label '%1'"
"Add Label","Add Label"
General,General
Name,Name
Enable,Enable
Yes,Yes
No,No
Image,Image
Priority,Priority
"Is Out-of-stock Product Label?","Is Out-of-stock Product Label?"
"Valid Start Date","Valid Start Date"
"Leave blank for apply unlimited day","Leave blank for apply unlimited day"
"Valid End Date","Valid End Date"
"Store View","Store View"
"Skip to apply label to all stores","Skip to apply label to all stores"
"Customer Group","Customer Group"
"Skip to apply label to all groups","Skip to apply label to all groups"
"Apply label to product only if the following conditions are met","Apply label to product only if the following conditions are met"
Conditions,Conditions
"This item no longer exists.","This item no longer exists."
"The item has been deleted.","The item has been deleted."
"Product Label","Product Label"
"A total of %1 record(s) were deleted.","A total of %1 record(s) were deleted."
"Valid End Date must follow Start Date.","Valid End Date must follow Start Date."
"That image can not upload, please choose another","That image can not upload, please choose another"
"The item has been saved.","The item has been saved."
"Please review the form and make corrections","Please review the form and make corrections"
"Image can't be uploaded","Image can't be uploaded"
"Image can't be deleted","Image can't be deleted"
"Please input valid date","Please input valid date"
Disable,Disable
"Home Page","Home Page"
"Catalog Page","Catalog Page"
"Product Page","Product Page"
"Shopping Cart Page","Shopping Cart Page"
"Checkout Page","Checkout Page"
"Search Page","Search Page"
"Wishlist Page","Wishlist Page"
"Compare Page","Compare Page"
"Not set","Not set"
Edit,Edit
"Resize label and move to choose its position on product image as desired","Resize label and move to choose its position on product image as desired"
"Print This Page","Print This Page"
"Compare Products","Compare Products"
"Remove Product","Remove Product"
Product,Product
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"You have no items to compare.","You have no items to compare."
"Related Products","Related Products"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"New Products","New Products"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","select all"
"Remove This Item","Remove This Item"
"Go to Wish List","Go to Wish List"
"Last Added Items","Last Added Items"
"You have no items in your wish list.","You have no items in your wish list."
"See Details","See Details"
"Options Details","Options Details"
Price,Price
"See price before order confirmation.","See price before order confirmation."
Qty,Qty
Update,Update
Remove,Remove
"BssCommerce Product Label","BssCommerce Product Label"
"Manage Label","Manage Label"
"Bss Commerce","Bss Commerce"
"General Configuration","General Configuration"
"Enable Module","Enable Module"
"Label does not display on","Label does not display on"
"Skip to show label on all pages","Skip to show label on all pages"
"Display multiple labels on product","Display multiple labels on product"
"If product is out of stock, only show ""Out of Stock"" label","If product is out of stock, only show ""Out of Stock"" label"
"Add New Label","Add New Label"
"Delete Label","Delete Label"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
Thumbnail,Thumbnail
Items,Items
"Start At","Start At"
"End At","End At"
Created,Created
Modified,Modified
Status,Status
