Rich Snippets,Rich Snippets
General,General
Enable,Enable
Choose "Yes" to enable module,Choose "Yes" to enable module
Site structure,Site structure
Your Website's Name,Your Website's Name
Twitter user,Twitter user
Website Image,Website Image
Website Description,Website Description
Show Site Link Searchbox,Show Site Link Searchbox
Show Breadscumbs,Show Breadscumbs
Sitename In Search Result,Sitename In Search Result
Local Business,Local Business
Enable Local Business,Enable Local Business
Select Comapny's Logo,Select Comapny's Logo
Company's Name,Company's Name
Comapny's E-mail,Comapny's E-mail
Comapny's Telephone,Comapny's Telephone
Company's Price Range,Company's Price Range
Company's Address locality,Company's Address locality
Company's Street Address,Company's Street Address
Company's Country,Company's Country
Company's Post Code,Company's Post Code
Social Profile Links,Social Profile Links
Product Options,Product Options
Show SKU,Show SKU
Show Name,Show Name
Show Image,Show Image
Show Description,Show Description
Show Review,Show Review
Show Avg. Rating,Show Avg. Rating
Show Price,Show Price
Show Availability,Show Availability
Category Options,Category Options
Show Description,Show Description
Show Name,Show Name
Show Image,Show Image
Open Graph,Open Graph
Enable for product page,Enable for product page
Enable for category page,Enable for category page
Enable for website,Enable for website
Twitter Card,Twitter Card
Enable for product page,Enable for product page
Enable for category page,Enable for category page
Enable for website,Enable for website
